School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
Temple University,"Philadelphia, PA",31900,21200,61,11,45200,1120,25,1120 / 25,1
Slippery Rock University of Pennsylvania,"Slippery Rock, PA",23500,16900,43,7,39800,1010,21,1010 / 21,1
South Dakota School of Mines and Technology,"Rapid City, SD",23100,19100,37,19,63600,1180,26,1180 / 26,1
Northeastern University,"Boston, MA",62700,33300,37,33,55600,1390,32,1390 / 32,0
University of Wisconsin-La Crosse,"La Crosse, WI",18800,13900,25,3,42500,1220,25,1220 / 25,1
New York University,"New York, NY",68700,38700,49,6,52400,1360,30,1360 / 30,0
Gannon University,"Erie, PA",44700,22800,78,16,43600,1040,23,1040 / 23,0
Augustana College-Sioux Falls,"Sioux Falls, SD",40500,21600,62,37,41000,1215,24,590 / 24,0
Butler University,"Indianapolis, IN",53100,35700,62,32,45400,1170,28,1170 / 28,0
Sewanee-The University of the South,"Sewanee, TN",51700,27700,48,30,36400,1230,28,1230 / 28,0
Pacific Lutheran University,"Tacoma, WA",52300,27300,75,23,43000,1100,25,1100 / 25,0
Susquehanna University,"Selinsgrove, PA",55500,28900,75,23,43300,1130,25,1130 / 25,0
Presbyterian College,"Clinton, SC",49800,19000,79,19,39500,1110,25,1110 / 25,0
University of South Carolina-Columbia,"Columbia, SC",26600,19600,27,30,44400,1200,27,1200 / 27,1
Creighton University,"Omaha, NE",51300,31100,53,38,46200,1180,27,1180 / 27,0
CUNY College of Staten Island,"Staten Island, NY",30600,10400,62,1,44000,1000,19,1000 / 19,1
Miami University-Oxford,"Oxford, OH",30600,23700,26,31,50600,1230,28,1230 / 28,1
Wisconsin Lutheran College,"Milwaukee, WI",39200,20900,77,15,41200,1020,24,1020 / 24,0
Pitzer College,"Claremont, CA",66300,28400,34,1,48700,1520,34,1520 / 34,0
Saint Peter's University,"Jersey City, NJ",51300,16300,85,9,45800,920,19,920 / 19,0
Taylor University,"Upland, IN",42500,28100,59,29,41700,1170,28,1170 / 28,0
DeSales University,"Center Valley, PA",51700,31200,76,17,46600,1060,24,1060 / 24,0
University of Colorado Boulder,"Boulder, CO",31200,22900,29,26,50600,1170,27,1170 / 27,1
Roberts Wesleyan College,"Rochester, NY",43600,23200,83,14,42400,1050,23,1050 / 23,0
Duquesne University,"Pittsburgh, PA",48100,29400,69,27,45400,1120,25,1120 / 25,0
Carroll College,"Helena, MT",44100,26600,63,31,47300,1120,24,1120 / 24,0
California State University-Stanislaus,"Turlock, CA",20800,6900,78,1,44100,920,19,920 / 19,1
California State University-Long Beach,"Long Beach, CA",23600,8400,61,9,44500,1020,21,1020 / 21,1
Kansas State University,"Manhattan, KS",23200,17200,30,8,48400,1160,24,1160 / 24,1
Mercer University,"Macon, GA",50400,21900,42,19,47700,1180,26,1180 / 26,0
Marian University-Fond Du Lac,"Fond Du Lac, WI",38100,21400,89,6,43700,1070,20,1070 / 20,0
University of Kansas,"Lawrence, KS",25100,19600,29,17,45900,1260,25,1260 / 25,1
Saint Norbert College,"De Pere, WI",45300,24800,70,24,41400,1220,25,1220 / 25,0
Southern Connecticut State University,"New Haven, CT",24400,14700,48,3,43900,920,20,920 / 20,1
University of Northern Iowa,"Cedar Falls, IA",21000,15300,36,11,42400,1150,22,1150 / 22,1
Truman State University,"Kirksville, MO",21200,13100,50,35,40600,1210,28,1210 / 28,1
College of Mount Saint Vincent,"Bronx, NY",49100,22900,82,7,39300,920,20,920 / 20,0
Salem College,"Winston Salem, NC",44400,16900,,,33300,1100,25,1100 / 25,0
Huntington University,"Huntington, IN",37800,20700,84,16,32200,1010,24,1010 / 24,0
University of Maine at Farmington,"Farmington, ME",22700,16100,73,3,40000,1060,21,1060 / 21,1
Spelman College,"Atlanta, GA",45500,33300,70,,45200,1020,22,1020 / 22,0
SUNY College at Oneonta,"Oneonta, NY",23400,16500,59,8,42200,1100,24,1100 / 24,1
Salve Regina University,"Newport, RI",53300,33500,77,19,48500,1110,25,1110 / 25,0
Clarke University,"Dubuque, IA",43800,25500,86,11,39500,1010,23,1010 / 23,0
State University of New York at New Paltz,"New Paltz, NY",22900,15000,33,,40300,1130,25,1130 / 25,1
Dickinson College,"Carlisle, PA",64800,36500,53,15,45000,1280,29,1280 / 29,0
Louisiana State University and Agricultural & Mechanical College,"Baton Rouge, LA",25100,14600,38,15,47700,1140,26,1140 / 26,1
Austin College,"Sherman, TX",49900,23800,65,14,40200,1220,25,1220 / 25,0
Eastern Illinois University,"Charleston, IL",24900,17800,51,13,40700,1110,22,1110 / 22,1
Seton Hall University,"South Orange, NJ",53900,29000,37,14,49400,1120,25,1120 / 25,0
University of Massachusetts-Lowell,"Lowell, MA",27400,17400,55,9,52000,1130,25,1130 / 25,1
Concordia College at Moorhead,"Moorhead, MN",46300,24900,72,25,39200,1140,25,1140 / 25,0
Luther College,"Decorah, IA",51800,28000,69,11,42300,1090,26,1090 / 26,0
Keene State College,"Keene, NH",26000,20600,43,13,43100,980,19,980 / 19,1
University of South Florida-Main Campus,"Tampa, FL",21800,12400,63,9,43900,1170,26,1170 / 26,1
Lebanon Valley College,"Annville, PA",53000,29800,84,16,43100,1110,25,1110 / 25,0
University of San Francisco,"San Francisco, CA",62600,35800,49,41,51100,1170,25,1170 / 25,0
Monmouth University,"West Long Branch, NJ",50300,29600,37,28,45700,1060,24,1060 / 24,0
Saint Joseph's College of Maine,"Standish, ME",48600,27900,,,47200,960,18,960 / 18,0
Saint Joseph's University,"Philadelphia, PA",59300,37400,56,35,48900,1110,24,1110 / 24,0
East Carolina University,"Greenville, NC",22000,14100,46,1,42000,1050,23,1050 / 23,1
University of North Dakota,"Grand Forks, ND",22100,17700,39,30,48000,1090,24,1090 / 24,1
University of Nebraska-Lincoln,"Lincoln, NE",23700,16500,35,6,44200,1170,25,1170 / 25,1
Misericordia University,"Dallas, PA",45000,27600,79,13,45600,1060,23,1060 / 23,0
Bay Path College,"Longmeadow, MA",47500,20700,91,4,40700,970,20,970 / 20,0
Morehouse College,"Atlanta, GA",49200,34600,69,8,50200,1010,21,1010 / 21,0
San Francisco State University,"San Francisco, CA",25200,10200,67,1,48300,1000,22,1000 / 22,1
Montana State University,"Bozeman, MT",20600,15600,39,9,48800,1140,24,1140 / 24,1
Wheaton College-Norton,"Norton, MA",62700,37200,64,25,42900,1270,26,1270 / 26,0
Bellarmine University,"Louisville, KY",55500,27000,75,21,42300,1080,25,1080 / 25,0
Sonoma State University,"Rohnert Park, CA",24600,14100,35,5,45800,1010,22,1010 / 22,1
Western Michigan University,"Kalamazoo, MI",23800,16900,42,10,44900,1150,22,1150 / 22,1
South Carolina State University,"Orangeburg, SC",29100,20000,,,42100,840,18,840 / 18,1
Loras College,"Dubuque, IA",41800,21800,73,25,40200,980,24,980 / 24,0
George Washington University,"Washington, DC",65800,35800,45,23,48900,1300,29,1300 / 29,0
Mount Saint Mary College,"Newburgh, NY",45400,26400,79,17,49500,1000,22,1000 / 22,0
University of North Carolina at Charlotte,"Charlotte, NC",20200,11100,48,1,45900,1070,23,1070 / 23,1
Loyola Marymount University,"Los Angeles, CA",61200,44400,55,25,50400,1190,27,1190 / 27,0
DePaul University,"Chicago, IL",52800,32400,60,18,48600,1160,26,1160 / 26,0
Saint Mary's University of Minnesota,"Winona, MN",42700,23000,73,22,45300,1030,23,1030 / 23,0
SUNY College at Plattsburgh,"Plattsburgh, NY",22900,15200,54,13,39100,1030,22,1030 / 22,1
Merrimack College,"North Andover, MA",53300,32100,71,22,51700,1190,24,1190 / 24,0
George Fox University,"Newberg, OR",46500,27600,64,27,46600,1070,23,1070 / 23,0
Neumann University,"Aston, PA",42600,25400,73,12,44500,860,18,860 / 18,0
Washington & Jefferson College,"Washington, PA",55800,30300,68,19,42100,1280,27,1280 / 27,0
University of Rhode Island,"Kingston, RI",28600,19300,67,7,48600,1070,24,1070 / 24,1
University of Dayton,"Dayton, OH",53400,35900,51,35,51700,1130,27,1130 / 27,0
Central College,"Pella, IA",48500,24500,81,16,43300,1060,24,1060 / 24,0
The College of Saint Scholastica,"Duluth, MN",46300,24100,62,6,47400,940,24,940 / 24,0
California State University-San Bernardino,"San Bernardino, CA",21200,6500,78,,42100,900,18,900 / 18,1
Connecticut College,"New London, CT",65400,26300,49,,45400,1420,31,1420 / 31,0
Washington College,"Chestertown, MD",58600,33800,58,31,45900,1160,27,1160 / 27,0
Bryn Mawr College,"Bryn Mawr, PA",64400,35200,52,20,41000,1340,30,1340 / 30,0
University of Hawaii at Manoa,"Honolulu, HI",27900,13300,51,20,43900,1090,24,1090 / 24,1
Coe College,"Cedar Rapids, IA",51200,24100,84,15,45300,1180,26,1180 / 26,0
Whitman College,"Walla Walla, WA",60600,36800,46,29,43500,1320,30,1320 / 30,0
University of Mount Olive,"Mount Olive, NC",29600,13300,66,10,36100,920,19,920 / 19,0
University of North Carolina at Asheville,"Asheville, NC",20700,13100,53,6,35700,1200,26,1200 / 26,1
Massachusetts College of Liberal Arts,"North Adams, MA",23000,14800,60,5,37600,1030,23,1030 / 23,1
Rose-Hulman Institute of Technology,"Terre Haute, IN",61100,41900,55,35,66700,1300,30,1300 / 30,0
Saint John Fisher College,"Rochester, NY",45000,25900,81,19,40400,1080,25,1080 / 25,0
Scripps College,"Claremont, CA",66300,38200,43,16,46600,1370,31,1370 / 31,0
SUNY College at Cortland,"Cortland, NY",24400,17900,44,3,39300,1060,23,1060 / 23,1
The Richard Stockton College of New Jersey,"Galloway, NJ",29600,16600,41,8,40500,1080,22,1080 / 22,1
University of Illinois at Springfield,"Springfield, IL",25900,9900,62,12,40000,1100,24,1100 / 24,1
Allegheny College,"Meadville, PA",56200,30300,74,24,39600,1180,26,1180 / 26,0
CUNY Hunter College,"New York, NY",21500,8900,68,4,45200,1160,24,1160 / 24,1
University of Central Florida,"Orlando, FL",21700,16100,48,4,42700,1180,26,1180 / 26,1
Nazareth College,"Rochester, NY",47600,29200,82,18,38600,1210,25,1210 / 25,0
Willamette University,"Salem, OR",59400,33400,61,34,43300,1200,27,1200 / 27,0
Central Washington University,"Ellensburg, WA",24300,15500,55,,45900,990,21,990 / 21,1
Graceland University-Lamoni,"Lamoni, IA",38600,19600,76,15,47300,910,21,910 / 21,0
Sam Houston State University,"Huntsville, TX",21100,12300,56,8,42900,1010,21,1010 / 21,1
South Dakota State University,"Brookings, SD",26000,16800,27,15,44500,1050,23,1050 / 23,1
University of North Carolina Wilmington,"Wilmington, NC",22300,15700,47,1,40700,1180,24,1180 / 24,1
University of Kentucky,"Lexington, KY",26400,16200,27,19,46200,1120,25,1120 / 25,1
Wheeling Jesuit University,"Wheeling, WV",38100,20500,45,23,38100,1010,22,1010 / 22,0
Longwood University,"Farmville, VA",25500,17300,40,4,39600,1010,21,1010 / 21,1
Quinnipiac University,"Hamden, CT",59700,38800,59,26,49500,1100,25,1100 / 25,0
University of Denver,"Denver, CO",59800,36700,41,40,48100,1210,28,1210 / 28,0
Westminster College-Salt Lake City,"Salt Lake City, UT",45000,25900,58,30,45400,1110,25,1110 / 25,0
Western Illinois University,"Macomb, IL",26300,18300,60,3,42100,1070,21,1070 / 21,1
Transylvania University,"Lexington, KY",47600,25200,67,33,37100,1160,27,1160 / 27,0
SUNY College of Technology at Alfred,"Alfred, NY",24900,15700,,,43300,1090,24,1090 / 24,1
University of Missouri-Columbia,"Columbia, MO",24600,18400,39,19,44100,1170,26,1170 / 26,1
Canisius College,"Buffalo, NY",51000,22400,76,18,39400,1090,25,1090 / 25,0
University of Wisconsin-Stout,"Menomonie, WI",19800,14500,33,2,47400,1150,22,1150 / 22,1
Winona State University,"Winona, MN",21700,18300,41,12,42800,1150,23,1150 / 23,1
St. Bonaventure University,"Saint Bonaventure, NY",45400,25000,77,21,41900,1060,24,1060 / 24,0
Monmouth College,"Monmouth, IL",45600,19200,86,14,42500,1010,23,1010 / 23,0
Alma College,"Alma, MI",48200,23800,83,16,42000,1060,25,1060 / 25,0
St. Francis College,"Brooklyn Heights, NY",46600,16400,72,20,44300,940,18,940 / 18,0
Rhodes College,"Memphis, TN",57900,31200,41,53,43900,1270,29,1270 / 29,0
Salisbury University,"Salisbury, MD",24100,18200,42,12,45000,1160,24,1160 / 24,1
Marietta College,"Marietta, OH",48000,25400,70,10,47000,1070,24,1070 / 24,0
Grand Valley State University,"Allendale, MI",22400,17800,50,16,41200,1090,24,1090 / 24,1
Millikin University,"Decatur, IL",43700,20900,74,10,41200,1040,24,1040 / 24,0
Holy Names University,"Oakland, CA",53200,28900,37,13,48900,910,19,910 / 19,0
Adelphi University,"Garden City, NY",52000,27700,46,16,46500,1120,22,1120 / 22,0
Texas State University-San Marcos,"San Marcos, TX",21500,12900,48,2,44800,1040,23,1040 / 23,1
West Virginia University,"Morgantown, WV",20400,10200,38,16,47700,1040,24,1040 / 24,1
Wentworth Institute of Technology,"Boston, MA",51900,35300,,24,56100,1110,24,1110 / 24,0
Elon University,"Elon, NC",47200,35100,30,21,45100,1220,25,1220 / 25,0
University of Wisconsin-River Falls,"River Falls, WI",18700,13600,36,3,39600,1150,22,1150 / 22,1
CUNY Queens College,"Flushing, NY",27300,7300,56,2,44200,1100,22,1100 / 22,1
Rollins College,"Winter Park, FL",65000,35600,50,27,43400,1200,27,1200 / 27,0
The College of Idaho,"Caldwell, ID",38100,20700,61,27,36100,1040,24,1040 / 24,0
Baldwin Wallace University,"Berea, OH",43200,22200,80,20,41100,1080,24,1080 / 24,0
Ithaca College,"Ithaca, NY",59600,36900,66,23,43700,1300,27,1300 / 27,0
Southern Methodist University,"Dallas, TX",66600,37300,27,35,50500,1310,29,1310 / 29,0
California Lutheran University,"Thousand Oaks, CA",56700,32300,64,30,41800,1110,24,1110 / 24,0
Catholic University of America,"Washington, DC",59500,39400,57,32,50000,1120,25,1120 / 25,0
Otis College of Art and Design,"Los Angeles, CA",58800,40200,65,17,44800,1000,22,1000 / 22,0
University of the Pacific,"Stockton, CA",61200,36100,69,15,50700,1180,26,1180 / 26,0
Piedmont College,"Demorest, GA",35800,19200,80,17,36000,1000,22,1000 / 22,0
Samford University,"Birmingham, AL",44000,29800,41,45,42000,1130,26,1130 / 26,0
University of Wisconsin-Oshkosh,"Oshkosh, WI",18600,13300,36,6,43700,1070,22,1070 / 22,1
Point Loma Nazarene University,"San Diego, CA",47800,32900,64,17,43800,1150,26,1150 / 26,0
Radford University,"Radford, VA",22200,15100,35,3,42200,990,20,990 / 20,1
Boston University,"Boston, MA",66200,35500,38,8,50900,1290,28,1290 / 28,0
California State University-Fullerton,"Fullerton, CA",25400,6000,51,5,43200,1030,22,1030 / 22,1
University of South Dakota,"Vermillion, SD",21100,16900,32,22,40900,1120,24,570 / 24,1
University of Alabama at Birmingham,"Birmingham, AL",25400,15200,39,17,43400,1170,25,1170 / 25,1
Ball State University,"Muncie, IN",23700,14000,40,12,39500,1070,22,1070 / 22,1
Bluefield College,"Bluefield, VA",37700,21900,88,12,46400,910,19,910 / 19,0
Ohio Northern University,"Ada, OH",44400,26100,,,48300,1150,26,1150 / 26,0
Eastern Mennonite University,"Harrisonburg, VA",45400,22400,39,7,37800,1000,22,1000 / 22,0
The College of Wooster,"Wooster, OH",57700,30500,59,40,38600,1220,28,1220 / 28,0
University of Arkansas,"Fayetteville, AR",24000,15800,35,14,47400,1130,26,1130 / 26,1
Fitchburg State University,"Fitchburg, MA",21900,13900,49,2,40700,990,20,990 / 20,1
Saint Edward's University,"Austin, TX",52600,23900,60,5,40600,1120,24,1120 / 24,0
West Chester University of Pennsylvania,"West Chester, PA",27000,20500,32,1,42400,1110,22,1110 / 22,1
Concordia University-Seward,"Seward, NE",37700,20600,73,10,39100,1040,24,1040 / 24,0
Central Connecticut State University,"New Britain, CT",25400,16100,49,6,47100,1010,22,1010 / 22,1
Texas A & M University-Commerce,"Commerce, TX",19000,9400,68,3,40900,990,21,990 / 21,1
CUNY Brooklyn College,"Brooklyn, NY",26100,7900,74,3,42900,1100,22,1100 / 22,1
Millersville University of Pennsylvania,"Millersville, PA",26200,15700,47,2,41300,1020,22,1020 / 22,1
Rochester Institute of Technology,"Rochester, NY",51400,30400,7,15,56700,1220,28,1220 / 28,0
Pittsburg State University,"Pittsburg, KS",18600,13100,43,7,41100,1110,22,1110 / 22,1
Drexel University,"Philadelphia, PA",70400,40600,54,29,56500,1190,27,1190 / 27,0
Dominican University,"River Forest, IL",42800,18000,87,9,42400,1070,22,1070 / 22,0
Biola University,"La Mirada, CA",50100,35000,67,23,42100,1120,25,1120 / 25,0
Wartburg College,"Waverly, IA",49400,24700,75,25,41600,980,24,980 / 24,0
University of San Diego,"San Diego, CA",62100,35400,53,16,50800,1220,28,1220 / 28,0
Massachusetts College of Art and Design,"Boston, MA",28800,23800,45,13,42700,1080,25,1080 / 25,1
Harding University,"Searcy, AR",28800,18000,52,13,42100,1120,25,1120 / 25,1
University of Wisconsin-Whitewater,"Whitewater, WI",18000,12600,37,4,43000,1060,22,1060 / 22,1
Marist College,"Poughkeepsie, NY",51800,37300,42,27,47000,1370,29,1370 / 29,0
University of Miami,"Coral Gables, FL",65400,36300,41,41,49900,1330,30,1330 / 30,0
Rowan University,"Glassboro, NJ",28500,16800,34,9,45800,1120,22,1120 / 22,1
Xavier University,"Cincinnati, OH",49400,30600,57,37,45800,1110,25,1110 / 25,0
Old Dominion University,"Norfolk, VA",24000,15800,49,7,43800,1030,21,1030 / 21,1
California State University-San Marcos,"San Marcos, CA",25000,8400,66,,43800,970,21,970 / 21,1
Azusa Pacific University,"Azusa, CA",48900,34400,65,16,41600,1100,24,1100 / 24,0
Saint Xavier University,"Chicago, IL",45300,18200,68,12,42300,1010,22,1010 / 22,0
St Catherine University,"Saint Paul, MN",50600,24100,69,13,42500,1070,23,1070 / 23,0
Pace University-New York,"New York, NY",60800,32300,71,21,52200,1040,23,1040 / 23,0
Texas Christian University,"Fort Worth, TX",55900,33900,35,27,47400,1180,27,1180 / 27,0
Carlow University,"Pittsburgh, PA",41200,19700,,,40000,950,20,950 / 20,0
Saint Marys College of California,"Moraga, CA",61700,36100,68,15,51100,1110,25,1110 / 25,0
American University,"Washington, DC",61500,36800,45,11,45300,1260,28,1260 / 28,0
University of Oregon,"Eugene, OR",25400,15500,33,12,44100,1110,25,1110 / 25,1
Geneva College,"Beaver Falls, PA",38200,21100,82,14,40900,1070,23,1070 / 23,0
University of Central Missouri,"Warrensburg, MO",19400,14800,39,20,40800,1110,21,1110 / 21,1
Rider University,"Lawrenceville, NJ",55800,32300,72,21,44600,1040,22,1040 / 22,0
Wagner College,"Staten Island, NY",58600,31900,64,22,48800,1160,25,1160 / 25,0
Franklin College-Franklin,"Franklin, IN",42400,24300,84,16,42000,1010,22,1010 / 22,0
William Jewell College,"Liberty, MO",46600,23100,68,25,41600,1160,25,1160 / 25,0
Shippensburg University of Pennsylvania,"Shippensburg, PA",25900,18200,48,7,42100,990,20,990 / 20,1
Dominican University of California,"San Rafael, CA",62400,37500,70,7,44100,1060,23,1060 / 23,0
University of North Carolina at Greensboro,"Greensboro, NC",19600,11000,60,2,39200,1030,23,1030 / 23,1
Hampshire College,"Amherst, MA",64500,39500,58,27,40600,1260,26,1260 / 26,0
University of Tulsa,"Tulsa, OK",54200,30600,15,41,56100,1270,29,1270 / 29,0
Hampden-Sydney College,"Hampden-Sydney, VA",56500,32200,64,35,55000,1110,25,1110 / 25,0
Bridgewater State University,"Bridgewater, MA",24300,16100,53,,41500,990,22,990 / 22,1
Northwestern College-Orange City,"Orange City, IA",42300,23300,73,24,40200,1040,24,1040 / 24,0
Western Carolina University,"Cullowhee, NC",19700,14100,64,4,39300,1040,22,1040 / 22,1
Lakeland College,"Plymouth, WI",38100,22400,71,15,43700,900,22,900 / 22,0
Augustana College,"Rock Island, IL",50800,26900,76,22,40300,1020,20,1020 / 20,0
University of Louisiana at Lafayette,"Lafayette, LA",20700,9200,50,9,45600,930,23,930 / 23,1
Georgia College & State University,"Milledgeville, GA",25600,18500,22,2,41500,1140,24,1140 / 24,1
Hiram College,"Hiram, OH",45100,24200,78,11,38100,1030,22,1030 / 22,0
Hampton University,"Hampton, VA",36800,24600,21,5,42300,1010,21,1010 / 21,0
Northwestern College-Saint Paul,"Saint Paul, MN",42300,26600,80,14,40500,1140,25,1140 / 25,0
Simpson University,"Redding, CA",38200,19900,88,5,36000,1030,22,1030 / 22,0
Webster University,"Saint Louis, MO",43300,23600,66,9,39500,1120,24,1120 / 24,0
University of Mississippi,"University, MS",23600,16100,44,26,41200,1090,24,1090 / 24,1
SUNY College at Oswego,"Oswego, NY",23400,17200,57,12,38600,1110,24,1110 / 24,1
Mount Vernon Nazarene University,"Mount Vernon, OH",38100,21200,77,40,37700,1080,23,1080 / 23,0
Western New England University,"Springfield, MA",51500,31200,80,15,53500,1070,24,1070 / 24,0
East Stroudsburg University of Pennsylvania,"East Stroudsburg, PA",22500,17100,44,1,40500,950,20,950 / 20,1
Lycoming College,"Williamsport, PA",50100,23400,82,15,42000,1040,24,1040 / 24,0
Concordia University-Chicago,"River Forest, IL",41900,20100,83,11,38600,1030,22,1030 / 22,0
University of Louisville,"Louisville, KY",25300,16000,55,15,44000,1090,25,1090 / 25,1
Holy Family University,"Philadelphia, PA",45800,16500,85,12,45200,940,19,940 / 19,0
Mayville State University,"Mayville, ND",17700,12800,52,14,36700,1190,24,1190 / 24,1
John Brown University,"Siloam Springs, AR",37100,20600,65,24,39500,1140,25,1140 / 25,0
Fordham University,"Bronx, NY",68000,38800,61,17,49900,1260,28,1260 / 28,0
Pacific University,"Forest Grove, OR",54400,29600,61,20,42500,1100,24,1100 / 24,0
Northern Illinois University,"Dekalb, IL",29400,20200,59,8,48200,1020,22,1020 / 22,1
Ohio University-Main Campus,"Athens, OH",25900,21400,45,8,45200,1090,24,1090 / 24,1
Notre Dame de Namur University,"Belmont, CA",52300,29100,90,5,46000,990,20,990 / 20,0
Southern Illinois University Edwardsville,"Edwardsville, IL",24600,17200,48,5,46800,1060,23,1060 / 23,1
Winston-Salem State University,"Winston-Salem, NC",18200,8400,75,1,43500,900,18,900 / 18,1
Cornell College,"Mount Vernon, IA",52600,25600,76,22,39200,1180,26,1180 / 26,0
Hood College,"Frederick, MD",51900,26000,83,17,38200,1040,22,1040 / 22,0
Springfield College,"Springfield, MA",49600,30800,82,11,35000,1030,23,1030 / 23,0
Stevenson University,"Stevenson, MD",47400,28700,75,18,43000,1000,21,1000 / 21,0
University of Minnesota-Duluth,"Duluth, MN",24300,17100,52,12,47400,1080,24,1080 / 24,1
University of Puget Sound,"Tacoma, WA",60200,42100,55,47,45600,1230,28,1230 / 28,0
University of New England,"Biddeford, ME",53000,35100,,,46900,1050,24,1050 / 24,0
University of North Florida,"Jacksonville, FL",21900,14400,40,12,42300,1160,25,1160 / 25,1
Lipscomb University,"Nashville, TN",43900,25300,22,33,40700,1170,25,1170 / 25,0
Murray State University,"Murray, KY",20200,10900,51,6,40400,970,22,970 / 22,1
University of North Texas,"Denton, TX",22100,11800,42,12,44200,1110,24,1110 / 24,1
Loyola University Chicago,"Chicago, IL",55500,33900,66,26,44600,1160,27,1160 / 27,0
The University of Montana,"Missoula, MT",18600,14300,41,7,39500,1090,24,1090 / 24,1
Caldwell University,"Caldwell, NJ",47500,19400,66,17,36300,950,21,950 / 21,0
Westminster College- Missouri,"Fulton, MO",37600,22500,59,33,41500,1010,24,1010 / 24,0
La Sierra University,"Riverside, CA",44400,26200,80,17,45600,930,20,930 / 20,0
Northwest Missouri State University,"Maryville, MO",18500,11800,55,8,40600,1050,23,1050 / 23,1
University of Michigan-Dearborn,"Dearborn, MI",24300,13500,50,11,49700,1220,25,1220 / 25,1
The Master's College and Seminary,"Santa Clarita, CA",45400,29700,76,13,40900,1100,25,1100 / 25,0
Baylor University,"Waco, TX",56100,38000,55,37,48000,1230,27,1230 / 27,0
University of Mount Union,"Alliance, OH",41500,26700,78,17,39900,1050,23,1050 / 23,0
SUNY at Purchase College,"Purchase, NY",25600,18900,52,12,42200,1080,24,1080 / 24,1
Elizabethtown College,"Elizabethtown, PA",54000,30200,75,24,41300,1120,25,1120 / 25,0
Manhattanville College,"Purchase, NY",55200,26800,55,34,45400,1080,21,1080 / 21,0
SUNY College at Potsdam,"Potsdam, NY",22700,15700,65,9,36400,1120,22,1120 / 22,1
Florida International University,"Miami, FL",24000,12600,54,5,43100,1150,26,1150 / 26,1
Vanguard University of Southern California,"Costa Mesa, CA",45700,26400,53,7,41600,950,23,950 / 23,0
Christopher Newport University,"Newport News, VA",27700,22900,30,9,44100,1160,26,1160 / 26,1
University of Wisconsin-Green Bay,"Green Bay, WI",18800,13000,50,3,35900,1150,23,1150 / 23,1
Nyack College,"Nyack, NY",39300,20800,82,15,37600,910,20,910 / 20,0
Rhode Island School of Design,"Providence, RI",66000,38200,31,1,46100,1240,28,1240 / 28,0
Hollins University,"Roanoke, VA",51400,23300,80,19,34600,1100,24,1100 / 24,0
Central Michigan University,"Mount Pleasant, MI",23400,14800,48,11,42100,990,22,990 / 22,1
Whittier College,"Whittier, CA",58400,26500,68,18,40500,1040,23,1040 / 23,0
Toccoa Falls College,"Toccoa Falls, GA",34100,20000,77,8,32400,1030,20,1030 / 20,0
Union University,"Jackson, TN",47700,28700,54,20,42900,1230,26,1230 / 26,0
North Central College,"Naperville, IL",48700,25500,78,21,43200,1220,25,1220 / 25,0
Benedictine College,"Atchison, KS",40700,25500,70,25,41300,1140,25,1140 / 25,0
Sarah Lawrence College,"Bronxville, NY",69100,39100,61,16,45000,1350,29,1350 / 29,0
Plymouth State University,"Plymouth, NH",27900,20700,41,12,41000,970,21,970 / 21,1
Grace College and Theological Seminary,"Winona Lake, IN",36300,20700,93,,33800,1030,23,1030 / 23,0
Minneapolis College of Art and Design,"Minneapolis, MN",47000,28200,78,17,39400,1100,23,1100 / 23,0
Missouri State University-Springfield,"Springfield, MO",20600,15500,52,11,39700,1090,24,1090 / 24,1
University of La Verne,"La Verne, CA",56000,26600,72,11,43100,1030,23,1030 / 23,0
Immaculata University,"Immaculata, PA",53400,33700,,,47600,950,20,950 / 20,0
Robert Morris University Illinois,"Chicago, IL",41300,21200,83,3,40700,1090,21,1090 / 21,0
Emerson College,"Boston, MA",58100,37500,46,9,43500,1230,28,1230 / 28,0
Meredith College,"Raleigh, NC",46100,24700,75,8,36800,1040,23,1040 / 23,0
Indiana Wesleyan University,"Marion, IN",36700,25900,79,2,42100,1060,24,1060 / 24,0
Bowling Green State University-Main Campus,"Bowling Green, OH",25200,18600,55,18,41600,1010,22,1010 / 22,1
Concordia College-New York,"Bronxville, NY",44000,20200,65,12,43500,920,18,920 / 18,0
Hendrix College,"Conway, AR",56500,25200,61,34,37100,1200,29,1200 / 29,0
Bethune-Cookman University,"Daytona Beach, FL",28200,17700,94,1,44200,820,17,820 / 17,1
Ohio Wesleyan University,"Delaware, OH",60000,32100,70,30,43700,1120,25,1120 / 25,0
Tulane University of Louisiana,"New Orleans, LA",65700,35700,36,36,45000,1320,31,1320 / 31,0
University of Nevada-Reno,"Reno, NV",23500,17000,41,23,48300,1080,24,1080 / 24,1
Hofstra University,"Hempstead, NY",58300,33400,64,23,47400,1170,26,1170 / 26,0
Sacred Heart University,"Fairfield, CT",56750,40600,78,30,50000,1100,27,1100 / 27,0
Southwestern College,"Winfield, KS",39500,24700,79,18,40900,980,23,980 / 23,0
College of Charleston,"Charleston, SC",28400,19200,33,19,43000,1170,26,1170 / 26,1
Albany State University,"Albany, GA",19800,13400,78,,35300,890,19,890 / 19,1
Centenary College,"Hackettstown, NJ",45700,27900,72,20,35500,960,21,960 / 21,0
Converse College,"Spartanburg, SC",31100,19400,79,13,34700,1060,24,1060 / 24,0
